Index,RMAG,Longitude,Latitude,VMAG,AZI,HFPA
34,1790.702134,53.21010152,0.836942939,1.722972046,-90.22545706,-2.905677572
35,1794.664268,51.44555842,0.717375197,1.724054973,-91.24715244,-3.404821505
36,1790.382728,53.51995797,0.722847012,1.703910125,-90.28850814,-2.732984685
37,1793.205584,50.66062709,0.717715299,1.719477688,-91.44658999,-2.985754552
38,1790.050006,50.71916106,0.947862914,1.72261816,-91.22952111,-3.063728908
39,1797.297295,51.31895598,0.907406356,1.713198526,-90.04216624,-2.947106049
40,1797.930119,53.00691854,0.889225509,1.705470774,-91.31523744,-3.061122292
41,1798.362357,53.75374128,0.801853211,1.710789658,-91.24888105,-3.067204737
42,1792.204341,52.29297941,0.708584093,1.713901852,-90.34720306,-2.961222745
43,1796.196363,54.00348493,0.773246344,1.716587914,-90.9360996,-2.955947193
44,1798.882788,51.78054093,0.876579458,1.70300179,-90.88774012,-3.07299054
45,1790.005289,53.89654295,0.806965534,1.706599689,-90.44846838,-2.661093213
46,1792.531126,53.80067028,0.948817932,1.723573279,-91.01478517,-2.872340348
47,1799.54819,52.49739916,0.852473481,1.722485674,-90.57830104,-3.267390756
48,1791.816347,53.2142099,0.768202918,1.711060367,-90.94684794,-2.877389077
49,1794.725655,53.64739746,0.787970431,1.726062714,-90.70463614,-3.310413231
50,1794.044255,50.09614542,0.793500195,1.717913382,-91.40589177,-3.10708442
51,1797.511891,52.9490946,0.698125485,1.698795606,-91.00621555,-2.889592404
52,1796.935891,53.95474767,0.876088414,1.70847061,-91.01371047,-3.007316376
53,1791.983846,53.88066934,0.820389774,1.725614109,-90.06691782,-2.934332111
54,1789.20883,50.14185083,0.762176349,1.708109846,-90.21991196,-2.719104253
55,1801.812573,51.95603719,0.821474301,1.697351536,-91.12053917,-2.842455141
56,1793.518404,51.82220383,0.816242861,1.726013352,-90.12855269,-3.054823006
57,1789.189465,53.39064427,0.91179929,1.70899344,-90.22770887,-2.627947142
58,1792.047908,51.98618519,0.87260778,1.72769313,-91.08971735,-3.21458395
59,1800.765167,51.88964248,0.947115715,1.718027309,-91.27049133,-3.458907105
60,1797.329309,50.69044574,0.773677687,1.722203086,-91.42575061,-3.161984814
61,1794.388551,52.65355799,0.745861592,1.724510319,-90.84889106,-3.415378667
62,1788.961372,51.55617795,0.73359024,1.725282833,-90.51546497,-2.660624937
63,1794.251129,53.44378657,0.811310512,1.722270334,-90.93338654,-3.026173725
64,1793.721464,51.37167582,0.696493039,1.711404478,-91.43002866,-2.941092373
65,1797.369876,52.34859727,0.784276803,1.712873062,-90.45822212,-3.324212716
66,1793.296508,51.64696665,0.688394919,1.71519066,-90.56052391,-2.922661664
67,1792.74937,53.53870011,0.921909486,1.704556403,-91.22677666,-2.51223803
68,1794.162586,52.86734633,0.789673672,1.724231907,-90.99734226,-3.316222586
69,1789.051629,52.25085042,0.836772013,1.720193006,-90.46330506,-2.989296663
70,1794.187419,50.36794796,0.785721572,1.704490454,-91.34817461,-2.877151992
71,1794.325002,53.66132202,0.695642253,1.706412933,-90.44081502,-3.013947217
72,1800.121879,53.3235509,0.747259216,1.704726883,-90.32374792,-3.105211238
73,1796.739457,51.83421524,0.79140019,1.718325724,-90.32896674,-3.165833409
74,1792.55808,50.95757554,0.813027416,1.709657746,-91.01642402,-2.706121129
75,1801.966624,53.62978526,0.888344961,1.715127749,-90.95952531,-3.276080866
76,1798.353028,50.05419758,0.877385839,1.708269086,-90.97282581,-3.068310839
77,1796.346304,52.04532848,0.705943568,1.706128843,-90.66051837,-3.115728155
78,1794.860184,51.99372463,0.77118385,1.716682928,-90.58339422,-2.990540893
79,1797.221792,52.22266552,0.859048145,1.714297295,-90.32429773,-3.108990217
80,1798.208252,53.40197287,0.930938696,1.708638692,-90.86604395,-3.25896249
81,1792.779735,53.61792654,0.716690994,1.726756065,-90.47292964,-2.943521166
82,1798.111005,51.6251983,0.774345139,1.700385047,-90.49051596,-2.838624015
83,1791.323033,52.24108034,0.837057532,1.72096607,-90.63344722,-3.029295022
84,1788.857097,50.32060102,0.917586209,1.724060606,-91.14131617,-2.638781882
85,1791.490881,50.86125205,0.854697023,1.721215063,-90.17630958,-2.810562295
86,1799.170045,50.59763005,0.793163274,1.708194165,-91.32734817,-3.308683065
87,1790.830296,52.05925526,0.817593971,1.725736623,-91.3582787,-3.248627934
88,1802.862759,52.67152917,0.811248394,1.704607122,-90.27479571,-3.337223514
89,1790.271319,52.48604356,0.788409854,1.726505683,-90.36130218,-3.152806321
90,1794.8124,52.82623927,0.851547929,1.715117964,-90.72491691,-2.966398139
91,1794.359482,50.10465051,0.932915142,1.716972724,-90.36693239,-3.21928314
92,1799.115959,51.31091257,0.890828549,1.702805274,-91.17423356,-2.971549711
93,1793.986159,50.66485972,0.851104709,1.704579448,-90.14400073,-2.67893073
94,1796.523467,53.1470781,0.815112129,1.723733516,-90.29721413,-3.170453763
95,1792.029787,52.89105567,0.732584465,1.716338941,-90.87381591,-2.982478005
96,1788.742783,51.4460486,0.821275679,1.708302043,-90.00880202,-2.58793538
97,1793.237239,52.94454047,0.817208222,1.709512284,-90.00130044,-2.672907816
98,1793.911586,51.33679691,0.845640758,1.709159203,-90.62342424,-2.934552382
99,1793.793913,51.42998397,0.803359145,1.704402525,-90.18255375,-2.707357008
100,1792.661652,50.48363227,0.832086693,1.717255321,-90.09924118,-2.83797914
101,1792.757556,50.363214,0.9052223,1.715748339,-90.32282846,-2.818826795
102,1796.026314,52.23733438,0.77978312,1.711332278,-90.2630766,-2.914486885
